name,description,hours,address,phone,website,price_level
Heart Coffee,A place where coffee meets the heart,8am-3pm,1123 SW Washington St Portland OR 97205, +15039543645, https://www.heartroasters.com/,$
Olympia Coffee Roasters,Only the best coffee you'll ever have,7am-5pm, 3840 California Ave SW Seattle WA 98116,+12069354306,https://www.olympiacoffee.com/,$
